item_code,uom,display_name,category,stock_qty,old_price_myr,new_price_myr,delta_myr,pct_change,excel_qty,item_group
LAD-H/D-STRO-SS09,UNIT,S/sided H/d Ladder 9 Step,Ladders & Access,1,449.00,498.00,49.00,10.91,1,SUNWAY WINSTAR
NIP-PHG-5L-A,CAN,5L Platone High Gloss Accent Base,Paint & Sundries,28,129.00,176.50,47.50,36.82,24,PAINT MAR.2
CIMA-1618/L/24W/G,SET,Cei/lamp Ic Control 1618/22W/G,Lighting,11,57.90,105.00,47.10,81.35,11,CIMA
CIMA-1618/L/24W/H,SET,Cei/lamp Ic Control 1618/22W/H,Lighting,5,57.90,105.00,47.10,81.35,5,CIMA
BOS-0601-9N9-0L0C1,SET,Gws + Gds + Gsb Plus Combo Set,Power Tools,1,1749.00,1795.00,46.00,2.63,1,CMW ENGINEERING2
BOS-0601-228-1L2,UNIT,Gsb 16RE Impact Drill (blow Mode Set),Power Tools,3,489.00,535.00,46.00,9.41,3,CMW ENGINEERING2
STA-PRE-WAS-BCPC20D1,UNIT,Black+decker 20V Power Cleaner,Chemicals & Adhesives,2,599.00,645.00,46.00,7.68,2,HUACHIAN2
STA-HIGH-PRE-WAS-K2,UNIT,Karcher K2 Power Vps High Pressure Washer,Power Tools,3,829.00,875.00,46.00,5.55,3,HUACHIAN2
SHO-SOR-SRTSS8720,PCS,Sorento Sliding BAR Shower Set - SRTSS8720,Bathroom,3,199.00,245.00,46.00,23.12,3,SYNTALUN
STA-SHE-SAN-SS24,UNIT,Stanley SS24 240W 1/4 Sheet Sander - SS24,Power Tools,1,149.00,195.00,46.00,30.87,1,HUACHIAN3
COC-SIN-SRTKT1831SS,PCS,Sorento Brass S/s 304 Wall Kitchen Tap,Plumbing,2,189.00,235.00,46.00,24.34,2,SYNTALUN
LEO-SUS304-LSSB2202P,PCS,Leon Sus 304 2 Way Pillar Sink Tap,Kitchen & Sinks,4,149.00,195.00,46.00,30.87,4,BOON SENG
STA-PRE-WAS-BEPW1600L,UNIT,Black+decker Pressure Washer L 110 BAR,Power Tools,3,444.00,489.00,45.00,10.14,3,HUACHIAN3
