item_code,uom,display_name,display_name_proposed,changed
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Joven (black) Instant Water Heater SL30IP-RS,no
JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Joven (black) Instant Water Heater SL30IP,no
JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Joven (white) Instant Water Heater SL30IP,no
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Joven (white) Instant Water Heater SL30IP-RS,no
JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Joven Instant Water Heater,no
SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,no
JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Joven SA8E Instant Water Heater,no
SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,no
TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Saniware Washdown Two-piece Closet WC-2122A-P180MM,no
TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Saniware Washdown Two-piece Closet WC-2110A-P180MM,no
JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Joven (white) Instant Water Heater SL30E-RS,no
SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),no
SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),no
TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,no
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,no
ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Taicon E27 3W LED Color Bulb-red,no
TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,no
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Joven (blk) Instant Water Heater,no
RUB-TAE11-M330,UNIT,Rubine C/hood,Rubine C/hood,no
STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Stanley Rotary Hammer 26MM,no
TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,no
OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Rubine Built-in Oven RBO-IA8X-70SS,no
KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),3.6L Rice Cooker (cool Grey),no
SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Sorento 450MM Shower Arm,no
SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Sorento 400MM Shower Arm,no
JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Joven (white) Instant Water Heater SB11IP,no
TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,no
TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Saniware One Piece Washdown Closet,no
FAN-STA-KHI-SF1682,SET,Khind 16 Stand Fan,Khind 16 Stand Fan,no
ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,Taicon E27 Stick Bulb Red 15W,no
TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Saniware Premier Tall Basin Cold Tap,no
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,Joven (white) Instant Water Heater SL30IP-AWB,no
TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,Saniware Washdown One Piece Closet-rimless,no
SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Sorento S/steel 304 Kitchen Sink-black,no
TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,no
TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,no
TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,no
IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),5.6L Rice Cooker (cool Grey),no
FAN-STA-KHI-SF1663H,SET,Khind 16 Stand Fan (black),Khind 16 Stand Fan (black),no
TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,no
TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,no
CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,no
GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,no
TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),no
TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,Sorento Washdown Flushing Tech,no
CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,no
SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,no
FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,Khind - 60 Ceiling Fan,no
OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,Rubine Built-in Oven RBO-IA6X-70SS,no
TAP-SAN-SWP-SS-304-3970,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,no
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Sorento Twister Flush Tech,no
SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Sorento Exposed Shower Set (matt Blk+rose Gold),no
STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Stanley Grinder 620W,no
STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,no
TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,no
TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Saniware Washdown Closet WC-2122A-S250MM,no
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Sorento One Piece Washdown Flush Tech,no
TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Sorento Washdown W Rimless Flush Tech,no
STA-GRI-SCG400-SOLO,UNIT,Stanley 20V Grinder,Stanley 20V Grinder,no
SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Sorento Exposed Shower Set 3-WAYS SRTWT2634,no
STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,Stanley Rotary Hammer 24MM,no
SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Sorento 229MM ABS Rain Shower Head (matt Blk),no
SIN-SOR-SRTKS6091,PCS,Sorento Undermount Kitchen Sink,Sorento Undermount Kitchen Sink,no
FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Rubine Blk Timber LED Ceiling Fan,no
TOI-TRP-WC-SRTWC8366-S(250MM),PCS,Sorento One Piece Washdown W Rimless Flush Tech,Sorento One Piece Washdown W Rimless Flush Tech,no
TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,Sorento One Piece Twister Flushing Tech,no
GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Rubine Ceramic Hob,no
ELE-BUL-B22-3W-RED,PCS,Taicon B22 3W LED Color Bulb - Red,Taicon B22 3W LED Color Bulb - Red,no
ELE-BUL-E27-10W-RED,PCS,Taicon E27 Stick Bulb Red 10W,Taicon E27 Stick Bulb Red 10W,no
MIR-SWBC-SS6414,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,no
OVEN-RUB-TAE13-M507,UNIT,Rubine M/wave Oven RMO-934SS-GD34X,Rubine M/wave Oven RMO-934SS-GD34X,no
SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Sorento 225MM ABS Rain Shower Head Matt Blk,no
SIN-SOR-SRTKS2426-BL,PCS,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,Sorento Kitch. Sink-blk Ultrasonic Nano Tech,no
SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Saniware Premier 3WAY Bath Shower Set For Water Heater (black),no
TAP-SAN-SWP-SS-304-3950-MB,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),no
FAN-CEI-RCF-MOZIA56-5B-BT,PCS,Rubine Blk Timber Ceiling Fan,Rubine Blk Timber Ceiling Fan,no
TOI-TRP-WC-SRTWC8840-S,PCS,Sorento Close Coupled Wash,Sorento Close Coupled Wash,no
BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,Sorento 304 S/s 5 IN 1 Bathroom Furn,no
ELE-D/L-MEG-YTT100ZI-30W,PCS,Megaman E27 LED Bulb,Megaman E27 LED Bulb,no
RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Rubine Glass Hob RGH-FIGATA2B-BL,no
SHO-SAN-SWP-BSP-5504B,PCS,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),Saniware Premier 2WAY Bath Shower Set For Water Heater (black),no
SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,Sorento Nanograin Texture Kitchen Sink,no
ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,MKK Cable 2.5MM (7/0.49MM) Red,MKK Cable 2.5MM (7/0.49MM) Red,no
FAN-CEI-DEKA-CGNL54MB12,UNIT,Deka Ceiling Fan Geno Matt Black,Deka Ceiling Fan Geno Matt Black,no
KHI-HDR-HD515,SET,Hair Dryer 1800W (matt Black),Hair Dryer 1800W (matt Black),no
OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Rubine M/wave Oven RMO-OREO-28BL,no
ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,MKK Cable 2.5MM (7/0.49MM) Black,MKK Cable 2.5MM (7/0.49MM) Black,no
MIR-SWBC-SS6811,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,no
SPR-BID-SWP-SS-304-6875-BA,PCS,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,no
TAP-SAN-SWP-SS-304-3950,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,no
TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Saniware Premier Tall Basin Cold Tap (gold),no
BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,Sorento 5IN1 Bath Furn,no
FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Deka Ceiling Fan F66 DC Matt Black,no
JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Joven (red) Water Purifier,no
KHI-HDR-HD511-GRE,SET,Hair Dryer 1400W (matt Grey),Hair Dryer 1400W (matt Grey),no
SHO-SOR-SRTWT9605RG,PCS,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,Sorento Exposed Shower Set 2WAYS SRTWT9605-RG,no
SHO-SOR-SRTWT9614,PCS,Sorento Shower Set,Sorento Shower Set,no
TAP-SAN-SWP-SS-304-3939,PCS,Saniware Premier Double Spout Kitchen Pillar Sink Tap,Saniware Premier Double Spout Kitchen Pillar Sink Tap,no
X-GAS-STO-RUB-TAE10-M372,UNIT,Rubine Glass Hob RGH-ALLORA2B-BL,Rubine Glass Hob RGH-ALLORA2B-BL,no
FAN-FLO-KHI-FF2005,PCS,20 Ind Floor Fan Black,20 Ind Floor Fan Black,no
SIN-SOR-SRTKS2427-BL,PCS,Sorento S/s 304 Kitchen Sink-blk Ultrasonic Nano Tech,Sorento S/s 304 Kitchen Sink-blk Ultrasonic Nano Tech,no
BAS-SOR-SRTWB7132,PCS,Sorento Counter Top Basin,Sorento Counter Top Basin,no
ELE-D/L-MEG-YTPDGLE5-70W,PCS,Megaman E27 Led-t Bulb,Megaman E27 Led-t Bulb,no
X-ELE-LED-FFL-CHA-10W,PCS,Taicon Stick LED Mini 5W E27 - Red,Taicon Stick LED Mini 5W E27 - Red,no
ELE-BUL-E27-3W-BLUE,PCS,Taicon E27 3W LED Color Bulb-blue,Taicon E27 3W LED Color Bulb-blue,no
ELE-HOL-TC818-E27,PCS,Taicon Tc 818 E27 Lamp Holder,Taicon Tc 818 E27 Lamp Holder,no
FAN-WAL-KHI-FW1660TH,SET,16 Wall Fan,16 Wall Fan,no
KHI-POT-AP550,SET,Khind Thermos Pot 5.5L,Khind Thermos Pot 5.5L,no
RAINBOW-G888-250GM,BTL,Nippon Gold Paint 999 Gold,Nippon Gold Paint 999 Gold,no
TAP-SAN-SWP-B-3203-RG,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,no
TAP-SAN-SWP-SS-3391,PCS,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-3391,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-3391,no
SPR-BID-SWP-SS-304-6875A,PCS,Saniware Premier Two Way Tap With Bidet Set 1.2M Flex. Hose,Saniware Premier Two Way Tap With Bidet Set 1.2M Flex. Hose,no
SPR-BID-SWSB-ABS-362,PCS,Saniware ABS Spray Bidet Set Holder & 1.2MM Flexible Hose,Saniware ABS Spray Bidet Set Holder & 1.2MM Flexible Hose,no
BATH-SRTBF31417,PCS,Sorento 6 IN 1 Bathroom Furniture,Sorento 6 IN 1 Bathroom Furniture,no
ELE-D/L-MEG-FE2155D-18W-3000K,PCS,Megaman Plce T3 3U E27 Bulb,Megaman Plce T3 3U E27 Bulb,no
FAN-CEI-DEKA-CF5DC46MB12,UNIT,Deka Ceiling Fan F5 DC~46 Pro Matt Blk,Deka Ceiling Fan F5 DC~46 Pro Matt Blk,no
X-RUB-TRB08-006,UNIT,Rubine Rjs 622 S/s Sink (1BB+1SB),Rubine Rjs 622 S/s Sink (1BB+1SB),no
ELE-BUL-B22-3W-BLU,PCS,Taicon B22 3W LED Color Bulb - Blue,Taicon B22 3W LED Color Bulb - Blue,no
STA-HAM-SBD715D2K,UNIT,Stanley Fatmax 20V Brushless Hammer Drill,Stanley Fatmax 20V Brushless Hammer Drill,no
BOS-0601-227-1L2,UNIT,Gsb 13RE Impact Drill (blow Mode Set),Gsb 13RE Impact Drill (blow Mode Set),no
GAS-STO-KHI-GC7125,SET,Khind Gas Cooker (stainless Steel),Khind Gas Cooker (stainless Steel),no
SHO-SOR-SRTWT9600HP,PCS,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,no
LOC-YALE-Y120B-50-KA5,SET,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA5,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA5,no
SHO-SOR-SRTSS8730,PCS,Sorento Sliding BAR Shower Set - SRTSS8730,Sorento Sliding BAR Shower Set - SRTSS8730,no
ELE-BUL-E27-3W-GREEN,PCS,Taicon E27 3W LED Color Bulb-green,Taicon E27 3W LED Color Bulb-green,no
KHI-INF-COO-IRC2000,SET,Khind - Infrared Cooker (black),Khind - Infrared Cooker (black),no
STA-DRI-BRU-SBD710D2K,UNIT,Stanley Fatmax 20V Max Brushless Drill Driver,Stanley Fatmax 20V Max Brushless Drill Driver,no
ELE-BUL-B22-3W-GRE,PCS,Taicon B22 3W LED Color Bulb - Green,Taicon B22 3W LED Color Bulb - Green,no
ELE-D/L-MEG-FE2155D-18W,PCS,Megaman E27 3U Bulb,Megaman E27 3U Bulb,no
NIP-MAT-W9102-18L,DRUM,18L Super Matex Bs 9102 White,18L Super Matex Bs 9102 White,no
STA-GRI-SCG400-SET,UNIT,Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),Stanley 20V Grinder 1PC Charger (SC200)+2PCS Battery 2.0AH (SB202),no
STA-PRE-WAS-BEPW1800T,UNIT,Black+decker Vertical Pressure Washer 125 BAR,Black+decker Vertical Pressure Washer 125 BAR,no
TAP-SAN-SWP-SS-304-106,PCS,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-304-106,Saniware Premier Kitchen Pillar Sink Tap SWP-SS-304-106,no
ELE-D/L-MEG-YTA60Z1-10W,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,no
BOS-0601-9H9-0L2C2,SET,Gws + Gsb Set + Gbh Solo + Gdx Solo Combo,Gws + Gsb Set + Gbh Solo + Gdx Solo Combo,no
ELE-CAB-WIR-MKK-1.5MM-BLACK,ROLL,MKK Cable 1.5MM (7/0.39MM) Black,MKK Cable 1.5MM (7/0.39MM) Black,no
GAS-STO-KHI-GS1516,SET,Khind - Infrared Gas Cooker (stainless Steel),Khind - Infrared Gas Cooker (stainless Steel),no
ELE-D/L-MEG-YTP38B1-10W,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,no
ELE-D/L-TC-3260-32W-RND-4000K,PCS,Taicon V3 32W Adjusted LED Dl Round (TC-3260),Taicon V3 32W Adjusted LED Dl Round (TC-3260),no
KHI-COO-RC918T,SET,Khind - Rc 1.8L Teflon Pot (cream Magnolia),Khind - Rc 1.8L Teflon Pot (cream Magnolia),no
NIP-SEA-5100-20L,DRUM,18L Nippon Vinilex 5100 Wall Sealer,18L Nippon Vinilex 5100 Wall Sealer,no
X-STA-PLANER-STP18-1800W,UNIT,Stanley Thickness Planer 1800W,Stanley Thickness Planer 1800W,no
BOS-0600-910-0L0SH,UNIT,Ghp High Pressure Cleaner,Ghp High Pressure Cleaner,no
FAN-KHI-AF1801,SET,Khind 18 Auto Fan (white),Khind 18 Auto Fan (white),no
FAN-WAL-TAICON-TC-11006,SET,Taicon 16 Wall Fan Sirim-whi,Taicon 16 Wall Fan Sirim-whi,no
KHI-COO-RCJ188,SET,Khind - Jar Rice Cooker 1.8L (mint),Khind - Jar Rice Cooker 1.8L (mint),no
BOS-2608-619-701,PCS,Cutting Disc Metal,Cutting Disc Metal,no
NIP-MAT-15245-18L,DRUM,18L Super Matex 15245 Maxtwhite,18L Super Matex 15245 Maxtwhite,no
NIP-SAT-GLO-18L-145,CAN,18L Nippon Satin Glo 145 White,18L Nippon Satin Glo 145 White,no
PSN-MJ-CS100WSK,PCS,Panasonic Juicer 1.7L 400W (white),Panasonic Juicer 1.7L 400W (white),no
STA-IMP-DRI-STDH7213V,UNIT,Stanley Percussion Drill 800W+VP,Stanley Percussion Drill 800W+VP,no
TAP-SAN-SWP-SS-304-3936-SS,PCS,Saniware Premier Kitchen Wall Sink Tap-ss,Saniware Premier Kitchen Wall Sink Tap-ss,no
ELE-D/L-MEG-YTA70Z1-15W,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,no
ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,no
FAN-CEI-DEKA-CF5DC56MB,UNIT,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,Deka Ceiling Fan F5 Dc~pro Matt Blk 56,no
TAP-SAN-SWP-B-304-3915,PCS,Saniware Premier Kitchen Wall Sink Tap-blk,Saniware Premier Kitchen Wall Sink Tap-blk,no
FAN-CEI-DEKA-CGNL54OAK12,UNIT,Deka Ceiling Fan Geno Oak,Deka Ceiling Fan Geno Oak,no
JOV-WAT-FIL-JWP20,PCS,Joven Water Filter,Joven Water Filter,no
STA-PRE-WAS-BEPW1750,UNIT,Black+decker Pressure Washer 120BAR,Black+decker Pressure Washer 120BAR,no
BOS-AHI4-4PC-R,UNIT,Adelino S/steel Multi Stage Centrifugal Pump (1.0HP),Adelino S/steel Multi Stage Centrifugal Pump (1.0HP),no
BOS-AJS37PC,UNIT,Adelino Automatic Self-priming Jet Pump With Pc (0.5HP),Adelino Automatic Self-priming Jet Pump With Pc (0.5HP),no
ELE-D/L-TC-2260-22W,PCS,Taicon 24W Adjusted LED Dl Rnd,Taicon 24W Adjusted LED Dl Rnd,no
"EXH-FAN-KHI-12""-WHI-EF1201",SET,Khind 12 Exhaust Fan (off White),Khind 12 Exhaust Fan (off White),no
BOS-0601-9K3-1L2,UNIT,Gsb Batt. Impact Drill,Gsb Batt. Impact Drill,no
BOS-2608-522-405,PCS,Impact Bit PH2 X 65MM,Impact Bit PH2 X 65MM,no
ELE-CAB-WIR-MKK-2.5MM-YEL,ROLL,MKK Cable 2.5MM (7/0.49MM) Yellow,MKK Cable 2.5MM (7/0.49MM) Yellow,no
ELE-D/L-MEG-YTP45B1-15W-3000K,PCS,Megaman LED Stick Bulb Plc YTP45B1 15W/3000K,Megaman LED Stick Bulb Plc YTP45B1 15W/3000K,no
ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K,no
STA-PRE-WAS-HD4,UNIT,Karcher Classic High Pressure Washer,Karcher Classic High Pressure Washer,no
STA-SAW-SCR121S2K,UNIT,Stanley 12V Reciprocating Saw,Stanley 12V Reciprocating Saw,no
FAN-TAB-KHI-TF1210SE-LAV,SET,Khind - 12 Table Fan (sweet Lavender),Khind - 12 Table Fan (sweet Lavender),no
BOS-0611-321-0L0,UNIT,Gsh 5CE Demolition Hammer,Gsh 5CE Demolition Hammer,no
ELE-CAB-WIR-MKK-2.5MM-GRE,ROLL,MKK Cable 2.5MM (7/0.49MM) Green,MKK Cable 2.5MM (7/0.49MM) Green,no
ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K,no
FAN-WAL-TAICON-TC-11007,SET,Taicon 16 Wall Fan Sirim-blk,Taicon 16 Wall Fan Sirim-blk,no
BOS-0601-1A2-1L0,UNIT,Gsb Impact Drill,Gsb Impact Drill,no
BOS-0601-9N9-0L0C1,SET,Gws + Gds + Gsb Plus Combo Set,Gws + Gds + Gsb Plus Combo Set,no
ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,no
ELE-D/L-TC-3260-32W-RND,PCS,Taicon 32W Adjusted LED Round (TC-3260),Taicon 32W Adjusted LED Round (TC-3260),no
BOS-AHI2-4PC,UNIT,Adelino S/steel Multi Stage Centrifugal Pump (0.75HP),Adelino S/steel Multi Stage Centrifugal Pump (0.75HP),no
KHI-FRY-ARF35,SET,Khind Air Fryer (mint),Khind Air Fryer (mint),no
STA-DRI-SCD10D2K,UNIT,Stanley 12V Tower Up Drill/driver 2.0AH,Stanley 12V Tower Up Drill/driver 2.0AH,no
BOS-0601-9F7-0L0,UNIT,Gsr Battery Screwdriver,Gsr Battery Screwdriver,no
BOS-0611-924-0L1,UNIT,Gbh Batt. Rotary Hammer,Gbh Batt. Rotary Hammer,no
ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,no
ELE-D/L-MEG-YTA70Z1-15W-4000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K,no
ELE-D/L-TC-2261-32W-SQ,PCS,Taicon 32W Adjusted LED Square (TC-2261),Taicon 32W Adjusted LED Square (TC-2261),no
KHI-COO-RC828N,SET,Khind Rice Cooker 2.8L,Khind Rice Cooker 2.8L,no
BOS-0601-9K0-0L0,UNITS,Gds Batt. Impact Wrench 18V-400,Gds Batt. Impact Wrench 18V-400,no
ELE-D/L-MEG-YTP45B1-15W-4000K,PCS,Megaman LED Stick Bulb Plc YTP45B1 15W/4000K,Megaman LED Stick Bulb Plc YTP45B1 15W/4000K,no
"EXH-FAN-KHI-08""-WHI-EF8001",SET,Khind 8 Exhaust Fan (off White),Khind 8 Exhaust Fan (off White),no
GAS-COO-TC-2288-PGC,SET,Taicon Portable Gas Cooker,Taicon Portable Gas Cooker,no
BOS-0601-228-1L2,UNIT,Gsb 16RE Impact Drill (blow Mode Set),Gsb 16RE Impact Drill (blow Mode Set),no
BOS-0601-9G8-1L7,UNIT,Gsb 121B Batt. Impact Drill (1 Batt.),Gsb 121B Batt. Impact Drill (1 Batt.),no
BOS-2608-522-406,PCS,Impact Bit PH2 X 110MM,Impact Bit PH2 X 110MM,no
BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Impact Bit PH2 X 150MM,no
ELE-D/L-MEG-YTA65Z2-12W,PCS,Megaman A65 E27 LED Bulb,Megaman A65 E27 LED Bulb,no
