item_code,uom,display_name,display_name_proposed,changed
BNW-B&N-RBN-115,PCK,Sr G. I Boit & Nut 3/16 X 1 1/2 (7PCS/PCK),Sr G. I Boit & Nut 3/16 X 1 1/2 (7PCS/PCK),no
CHA-FIR-STARTER-NT-20708,BOX,Cock Brand Fire Starter (1020010),Cock Brand Fire Starter (1020010),no
COV-PWPC-1-HD-T,PCS,Legrand Pvc-link 1GANG W. Proof Protect Covr H/d,Legrand Pvc-link 1GANG W. Proof Protect Covr H/d,no
ELE-PEN-DX-9260/3,PCS,Pendant Light DX-9260/3,Pendant Light DX-9260/3,no
"FIT-HDPE-BEN-FEM-25MMX3/4""",PCS,HDPE Bend Female 25MM X 3/4,HDPE Bend Female 25MM X 3/4,no
FIT-UPVC-SOC-110X50MM,PCS,"U-pvc Socket Reducing 4""X2","U-pvc Socket Reducing 4""X2",no
FIT-UPVC-SOC-110X82MM,PCS,"U-pvc Socket Reducing 4""X3","U-pvc Socket Reducing 4""X3",no
FLO-MOC-SP121A,PCS,12 X 24 Homo Tile SP121A,12 X 24 Homo Tile SP121A,no
HOI-LEV-TOH-3.0,PCS,Toyo Lever Hoist 3.0 Ton,Toyo Lever Hoist 3.0 Ton,no
KGR-KIM-300ML-9211,TIN,300ML Kangaroo Kimtone 9211,300ML Kangaroo Kimtone 9211,no
"PIP-UPVC-4""",LTH,4 (110MM) Ut X 6M Upvc Pipe (LTH),4 (110MM) Ut X 6M Upvc Pipe (LTH),no
PUT-CAR-GRY-1KG,TIN,1KG Putty Grey Yarpro,1KG Putty Grey Yarpro,no
RIG-SHA-GAL-20MM,PCS,Galvanised D-shackle 20 MM,Galvanised D-shackle 20 MM,no
SCA-CAM-3100075,PCS,Electronic Kitchen Scale,Electronic Kitchen Scale,no
SHH-HOOK-4310N-NO.8,PKT,No. 8 Exori Super Strong Hook (20'S),No. 8 Exori Super Strong Hook (20'S),no
SHH-HOOK-9255SS-5/0,PKT,Eupro Octopus S/s Hook 5/0 (6'S),Eupro Octopus S/s Hook 5/0 (6'S),no
SHH-NET-0.15D-25MM,PCS,"(0.11) 25MM (1"") (25YDS) Net","(0.11) 25MM (1"") (25YDS) Net",no
SHH-REEL-1188S135,PCS,"1188 Sin Udang Galah TRANSPARENT135(4'6"")PRAWN Rod (6+1)","1188 Sin Udang Galah TRANSPARENT135(4'6"")PRAWN Rod (6+1)",no
SHH-REEL-MH4000A,PCS,Sealand Machine Gun Fishing Reel (3SS-B) MG4000A,Sealand Machine Gun Fishing Reel (3SS-B) MG4000A,no
SHH-REEL-YY2000,PCS,Maitelei Fishing Reel (13BB) YY2000,Maitelei Fishing Reel (13BB) YY2000,no
SHH-ROD-TKKT26632S,PCS,"Torikumu Kotai Ii Medium (6'6"")ROD","Torikumu Kotai Ii Medium (6'6"")ROD",no
SHH-SWIVEL-SNAP-NO.10,PKT,Nickel Snap Swivel No. 10,Nickel Snap Swivel No. 10,no
SHH-SWIVEL-SNAP-NO.6,PKT,Nickel Snap Swivel No. 6,Nickel Snap Swivel No. 6,no
STO-MOU-M5-25X35,PCS,Mounted Stone:k-prix Korea M5 (25X35),Mounted Stone:k-prix Korea M5 (25X35),no
STO-MOU-M6-25X52,PCS,Mounted Stone:k-prix Korea M6 (25X52),Mounted Stone:k-prix Korea M6 (25X52),no
SWI-SOC-MK-1G1W-S4781,PCS,Mk 1GANG 1WAY Wide Rocker Socket,Mk 1GANG 1WAY Wide Rocker Socket,no
SWI-T/SOC-FLE-913-2M3G,SET,Fle T/skt Sp TC-3GL-240B 913-2M,Fle T/skt Sp TC-3GL-240B 913-2M,no
SWI-T/SOC-FLE-913-3M3G,SET,Fle T/skt Sp TC-3GL-340B 913-3M,Fle T/skt Sp TC-3GL-340B 913-3M,no
TIE-CAB-BLA-150MM,PCK,"Black PVC Cable Ties 150MM (6"")","Black PVC Cable Ties 150MM (6"")",no
TOO-COM-IRO-BUL-11MM,PCS,11MM Iron Bull Spanner,11MM Iron Bull Spanner,no
TOO-DRI-ADA-13MM,SETS,Mdsi (MD-04096) Drill Chuck Head With Adapter Chuck,Mdsi (MD-04096) Drill Chuck Head With Adapter Chuck,no
TOO-RUL-TRI-A11012,PCS,Arrow 12 Triangle Ruler,Arrow 12 Triangle Ruler,no
TOW-STB-08023(3/4),PAIR,Stb 3/4 Centre S/steel Towel Bracket,Stb 3/4 Centre S/steel Towel Bracket,no
VAL-BAL-KK-K-201B/L,PCS,Kk Brand Brass Loose Key Tap,Kk Brand Brass Loose Key Tap,no
VAL-BAL-PVC-ECC112SE,PCS,Ecco PVC Ball 1/2 Se,Ecco PVC Ball 1/2 Se,no
WAL-PLU-H/DUTY-630B,PCK,8MM X 40MM H/duty PVC Wall Plug,8MM X 40MM H/duty PVC Wall Plug,no
"WOO-TIM-2""X3""X12'",PCS,Mlh Sawn Timber 2 X 3 X 12,Mlh Sawn Timber 2 X 3 X 12,no
BAT-MKX-2026,PCS,Part : Battery (square),Part : Battery (square),no
BNW-NUT-SS304-M12,PCS,SS 304 Nut - M12,SS 304 Nut - M12,no
