item_code,uom,price_cents
STA-HAM-BRU-SBH900M2K,UNIT,132900
STA-PRE-WAS-K3-DEL,UNIT,132900
BOS-0600-8A7-BL0,UNIT,112900
BOS-GMAW-180DH,UT,51900
SIN-CKS7406,PCS,58800
STA-SCR-SCS4K,UNIT,23800
MIX-CAB-C8122,PCS,48800
DC-DCPL208EK-20V,SET,91800
LAD-ALU-WORKER-DS10,UNIT,38800
FAN-CEI-RCF-MOZIA56-5B-BT,PCS,49900
SHO-SOR-SRTWT9600HP,PCS,46900
SIN-CAB-CKS7306,PCS,47900
TOI-CAS-WD014-S,SET,59900
BOS-AA-MIG200,SET,53500
CAB-SAN-SWBC-SS6615,SET,74900
STA-DRI-SCH10D2K,UNIT,39900
CHA-SAW-STIHL-MS172,UNIT,88900
BATH-CBF3611,PCS,46900
BATH-CBF3612,PCS,46900
COMPRESSOR-ABKS-AB3.0HP-100L,UNIT,179900
WAS-BAS-IS8207,NOS,47900
JQB-SUNWAVE-65W,UNIT,49900
JQB-FUSION-500,UNIT,179900
GRA-CUT-STC1820EPCF,UNIT,50900
LAD-ALU-AT-DS09,UNIT,31900
BOS-0601-9H9-0L2C2,SET,244800
DC-ZC02-28-H2K,SET,145800
WEL-MAC-IWE-MIG-220I,UNIT,219800
DC-DCJZ2060iAM,SET,49800
BOS-0600-8A7-508,PCS,11600
DC-20V-XA,SET,169500
DC-20V-XA+,SET,169500
TOO-WK-PWT-5513,UNIT,53900
TOI-TRP-WC-2122A-P,SET,46900
TOI-TRP-WC2300-S,SET,66900
TOI-TRP-WC-2122A-S,SET,46900
MIR-SBC-600603A,SET,55900
TOW-SAN-SWP-BF-7902-G,PCS,39900
"FAN-WALL-TAICON-26""",SET,22900
PUM-WTR-JHP3-40,UNIT,101900
WAS-BAS-IS8025A,NOS,37900
TOO-DRI-20V,UNIT,71900
LAD-H/D-STRO-DS10,UNIT,65900
TOO-DRI-SET-WK-PWT-5515,SET,64900
TOI-TRP-C1310P-WHT,NOS,43900
TOI-TRP-C1310S-WHT,NOS,43900
X-BBQ-SMO-LIBERTY,UNIT,59900
STA-PRE-WAS-HD4,UNIT,198800
BOS-0611-338-5L0,UNIT,93800
TAP-SAN-SWP-B-2934,PCS,48500
PUM-WTR-MARLINO-CPM190,UNIT,94500
MIR-KT8002-500X700,PCS,43500
X-LOC-SOL-CR503,SET,24500
SOC-SWI-162MCS,PCS,10377
STA-DRI-SCD10D2K,UNIT,36900
SHO-CAB-CSS8803-BL,PCS,41900
SIN-CAB-CKS317,PCS,46900
TAP-SAN-SWP-B-2930,PCS,43800
BOS-0601-9F7-0L0,UNIT,44800
TAP-SAN-SWP-B-2922,PCS,43800
ACC-HYU-HY-15,PCS,19800
CHA-SAW-STIHL-MS162,UNIT,79800
STA-PLA-STEL630,UNIT,41500
INS-IS1503,SET,45000
X-BOS-0601-216-1L6,UNIT,39500
TOI-TRP-WC2098RL-S,SET,59900
STA-PRE-WAS-BEPW1750,UNIT,57900
BAS-SOR-SRTWB3403,PCS,69900
STA-SAW-SM16,UNIT,93900
BOS-0601-1C4-0L0,UNIT,73900
BATH-CBFAL66627-BLK,PCS,71900
BATH-CBFAL66628-WHI,PCS,71900
SIN-CAB-CKS315,PCS,49900
DCPB488EK,SET,94900
JQB-JUMP-XPRESS-F39,UNIT,89900
X-LOC-SGD-PL300-60MM-5PCS,SETS,44900
VAC-HYU-HD-1600E,UNIT,37900
BAT-STA-SB204,PCS,31900
TAP-SAN-SWP-B-2931,PCS,46800
TAP-SAN-SWP-B-2921,PCS,39800
OVEN-KHI-TOA-OT3005,SET,37800
BATH-SRTBF11707-BLK,PCS,71800
BAS-SOR-SRTWB1086-BL,PCS,58800
BID-SOR-SRT103-GM,PCS,41800
TAP-SAN-SWP-B-2527,PCS,38800
SAF-BOX-YSS250,UNIT,58800
BOS-0603-947-080,UNIT,38800
LAS-MK-CON-9039,SET,44800
TAP-CAB-CB9108A,UNIT,9600
X-STA-HAM-EVO185B1,UNIT,89500
MIR-KT8001-600,PCS,37500
X-ELE-CEI-LIG-8711-60PCS,PCS,34500
DL5-WAT-FIL-0942-GRY,UNIT,34900
TAP-SAN-SWP-B-2932,PCS,49900
BAS-SOR-SRTWT8303-RG,PCS,44900
BAS-SAN-WB-502,PCS,39900
MIR-SRTMCB-4060BL,PCS,35900
STA-GRI-STGS8100,UNIT,21900
STA-ROT-DRI-STDR5510,UNIT,23900
BOS-0603-3E0-050,UNIT,39900
LAD-ALU-WEL-D09,UNIT,44900
DC-DQU08-160,SET,44900
LAD-ALU-WORKER-SS09,UNIT,28900
BAS-SOR-SRTWT7203-GM,PCS,44800
BOS-86-AA106,UNIT,38800
SIN-CAB-CKS319,PCS,37800
LAD-ALU-WORKER-DS09,UNIT,34800
LAD-H/D-STRO-SS07,UNIT,39800
NIP-QGL-15L-A,DRUM,41570
BOS-2608-615-005,PCS,37500
STA-HAM-SBD715D2K,UNIT,76900
BOS-0611-924-0L1,UNIT,171900
BOS-0601-387-0L0,UNIT,55900
NIP-SEA-5170-20L,DRUM,53900
BAS-SOR-SRTWB3415-BW,PCS,64900
BOS-0601-9G6-1L0,UNIT,103900
BOS-86-AA126,UNIT,64900
COC-SIN-SRTWT5812,PCS,38900
BOS-0603-264-670,UNIT(S),37900
DC-DZG06-6,SET,55900
DC-DCJZ2050IDE,SET,55900
LAD-ALU-WEL-D12,UNIT,56900
LAD-ALU-WEL-D07,UNIT,35900
LAD-H/D-STRO-DS06,UNIT,42900
SHH-ROD-DX3332180,PCS,16900
LAS-MK-CON-2024,SET,36900
LAD-ALU-AT-DS07,UNIT,24900
NIP-9000-GF-5L-D,CAN,24830
MIR-SWBC-SS6414,SET,68800
BOS-0601-9K3-0L2,UNIT,69800
BAS-SOR-SRTWT6807-RG-MIX,PCS,59800
"FAN-VEN-KDK-15TGQZ-6""",UNIT,12500
SIN-MUD-8048,SET,19800
BOS-0601-9G5-2L0,UNIT,89500
BOS-0601-9C6-2L0,UNIT,49500
LAD-ALU-WEL-D10,UNIT,48500
LAD-H/D-STRO-DS12,UNIT,77500
GUN-TRA-T50,PCS,35500
TAP-SAN-SWP-B-2924,PCS,39900
SHO-CAB-CSS8801,PCS,34900
GUN-TRA-ST64,PCS,54900
TOO-BOS-HAMM-BRH616,SET,43900
LAD-ALU-WEL-D08,UNIT,39900
LAD-H/D-STRO-DS08,UNIT,53900
TOI-CAS-WD012,UNIT,46900
BAS-SOR-SRTWT-7203-BL,PCS,41800
FAN-CEI-DEKA-CDKN54MG12,UNIT,29800
FAN-CEI-DEKA-CDKN54OAK12,UNIT,29800
LAS-MAC-HTM-5500,SET,36800
BAT-CHA-KENDE-SM2024,UNIT,63500
SWI-OMS-CA32-41,PCS,6604
BOS-0601-298-0L0,UNIT,47500
PUM-WTR-CHM4-2H,UNIT,168800
VAC-HYU-HD-1600,UNIT,45500
CAB-SAN-SWBC-SS6411,SET,49900
BAS-SOR-SRTWT6806-MIX,PCS,53900
STA-IMP-WRE-SBW910M1K,UNIT,86900
NIP-SEA-5200-20L,DRUM,25900
MIX-CAB-CB4723,PCS,27900
DC-DCSM04-100FK,SET,101900
DC-DQE1200/30L,SET,65900
COM-AIR-ACO-AC24L,UNIT,56900
LAD-H/D-STRO-DS09,UNIT,59900
FRE-MID-MD-RC151FZB01,PCS,53900
LAD-ALU-WORKER-SS10,UNIT,31900
WAT-TAP-BLU,DRUM,23900
STA-GRI-SCG400-SET,UNIT,86800
BOS-AJS37PC,UNIT,69800
BOS-0601-068-000,UNIT,128800
STA-POL-SP137,UNIT,39800
BOS-0601-58F-0L0,UNIT,88800
VAC-DEC-DVA315JF,UNIT,33800
TOO-WRE-AIR-RT5563,UNIT,98800
TOO-WRE-AIR-RT5562,UNIT,89800
TOO-WRE-KPT-220P,UNIT(S),79800
X-ELE-CEI-LIG-1721/1-32PCS,PCS,28800
X-ELE-CEI-LIG-1721/2-32PCS,PCS,28800
X-STA-DRI-SCI12S2,UNIT,49500
BOS-0601-8C0-0L0,UNIT,72500
BOS-0601-387-5L0,UNIT,68500
BOS-RP15G,UNIT,82500
DC-S1P-FF02-180,SET,32500
BOS-HVLP-888,UNIT,11500
BAS-SOR-SRTWB1411,PCS,39900
STA-JIG-SJ60,UNIT,31900
BOS-0601-2A7-0L0,UNIT,41900
BOS-0601-6B3-0L1,UNIT,52900
MIR-SBC-600401A,SET,32900
TAP-SIN-CAV-CA3616P,PCS,12900
DOR-WOO-KY800,PCS,25900
WAL-FOL-V8500,SET,18900
INS-IS8503(B),NOS,30900
LAD-H/D-STRO-DS07,UNIT,46900
DC-DMY02-185SH,SET,31900
X-BOX-ICE-150LTR,PCS,35900
LAD-ALU-WOR-AP-2404,UNIT,24900
LAD-ALU-AT-DS08,UNIT,27900
TAP-SAN-SWP-SS-304-3940-RG,PCS,28800
BAS-SOR-SRTWT7203,PCS,38800
STA-ROS-SAN-SS30,UNIT,35800
VAC-DEC-D1E20V,UNIT,39800
DC-M1Q-FF-65,SET,39800
BAT-CHA-20A-12/24V,UNIT,23500
WEL-MAC-FIG-TIG-200,UNIT,139500
LOC-STA-827-426,PCS,24800
TAP-CAB-CB4907,UNIT,36200
STI-BRU-CUT-FR3001,UNIT,55800
LEO-SUS304-TWI-WAL-L2331W,PCS,17500
PUM-WTR-ADELINO-AWJ4-4,UNIT,149800
FRE-MID-MD-RC207FZB01,PCS,71800
STA-ROT-HAM-SHR263KA,UNIT,55900
BOS-AHI2-4PC,UNIT,89900
BOS-0601-063-N81,UNIT,75900
BOS-0601-596-0L0,UNIT,42900
BOS-0601-9H9-0L1,UNIT,153900
BOS-0601-B37-3L0,UNIT,70900
ELE-CAB-SPEAKER-FAJAR-30/0.18MMX2C,COIL,19900
LEO-SUS304-TWI-L2301WF,PCS,20900
DC-DCPL04-8EK,SET,43900
SUMO-LT2500N-6,UNIT,127900
LEO-SUS304-TWI-L2302PF,PCS,20900
WEL-MAC-MAR,UNIT,32900
X-LOC-SGD-PL300-60MM-4PCS,SETS,28900
DC-DCPL208AM,SET,52900
JAC-BOT-MAS-MHB-30TON,PCS,60900
PUM-WTR-ADE-AWJ2-5,UNIT,132900
WAL-FOL-DRY-RAC-1336,SET,19900
LAD-ALU-AT-DS06,UNIT,21900
TAP-SAN-SWP-SS-304-3970-MB,PCS,33800
FAN-CEI-DEKA-CGNL54MB12,UNIT,31800
FAN-CEI-DEKA-CF66DC66MB12,UNIT,28800
STA-DRI-BRU-SBD710D2K,UNIT,69800
FAN-CEI-DEKA-CGNL54OAK12,UNIT,31800
STA-CHO-SSC22,UNIT,62800
FAN-CEI-DEKA-CCNL54RG12,UNIT,31800
NIP-WTRB-5L-WHITE,CAN,29800
MIX-SWP-B-2523,PCS,26800
TOW-SAN-SWP-BF-7903-G,PCS,21800
WEL-MAC-STW-250G,UNIT,119000
BOS-0601-072-9K0,UNIT,28800
BOS-0611-253-76C,UNIT,93800
BOS-0601-9E5-1L0,UNIT,79800
BOS-0601-9F3-0L3,UNIT,49800
BOS-RB650S,UNIT,94800
BOS-0601-27A-3L0,UNIT,59800
WOR-CUT-WK-PWT-5510,UNIT,19800
DC-DZC03-28,SET,41800
LAD-H/D-STRO-SS10,UNIT,54800
LAD-H/D-STRO-SS09,UNIT,49800
NIP-PHG-5L-A,CAN,17650
CIMA-1618/L/24W/G,SET,10500
CIMA-1618/L/24W/H,SET,10500
BOS-0601-9N9-0L0C1,SET,179500
BOS-0601-228-1L2,UNIT,53500
STA-PRE-WAS-BCPC20D1,UNIT,64500
STA-HIGH-PRE-WAS-K2,UNIT,87500
SHO-SOR-SRTSS8720,PCS,24500
STA-SHE-SAN-SS24,UNIT,19500
COC-SIN-SRTKT1831SS,PCS,23500
LEO-SUS304-LSSB2202P,PCS,19500
STA-PRE-WAS-BEPW1600L,UNIT,48900
BAS-SOR-SRTWB1409,PCS,35900
BAS-SOR-SRTWB1086,PCS,33900
TOW-SOR-SRT764-24-RG,PCS,33900
BAS-SOR-SRTWB7249,PCS,33900
STA-JIG-SJ45,UNIT,29900
STA-TIL-CUT-STSP125,UNIT,29900
TAP-SIN-SRTKT69SS-GM,PCS,40900
BATH-CBF66409-WHI,PCS,39900
ELE-CEI-LIG-2847/2WH,SET,15900
FAN-DES-MOTTO-AFM01,UNIT,14900
WIR-BRC-66C-45M,ROLL,23900
LAD-ALU-WOR-AP-2405,UNIT,29900
X-LAD-D/S-DS09,UNIT,24900
TOO-VIC-W2486,PCS,41900
KGR-FLO-COA-9285,TIN,19900
NIP-VIN-EAS-20L-P,DRUM,48420
STA-SAW-SCR121S2K,UNIT,51800
DC-M1Y-FF02-185,SET,31800
LAD-ALU-WORKER-DS06,UNIT,24800
TAP-CAB-CB889SS-BL,PCS,24800
LAD-H/D-STRO-SS08,UNIT,44800
SWI-SOC-MET-740/13A,PCS,4800
DOR-SET-ATH-120,SET,9600
TOO-SOC-SET-4610M,SET,12900
NIP-9000-GF-5L-A,CAN,23540
JOV-WAT-HEA-SA8E,PCS,28800
STA-COR-FAN-SCF001,UNIT,22500
TAP-SIN-SRTKT1867SS-BL,PCS,42500
SIN-CAV-CA819,PCS,18500
FLO-MOC-VZ3329WHT,PCS,300
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,66900
STA-PRE-WAS-BEPW1800T,UNIT,65900
X-STA-PLANER-STP18-1800W,UNIT,223900
BOS-0601-9K3-1L2C1,SET,114900
ELE-CAB-FAJ-2.5MM-80M,ROLL,34900
TOO-BOS-BAG-101,PCS,29900
BID-SOR-SRTWT5879-RG,PCS,22900
BOS-0601-9F0-0L3,UNIT,69900
TOI-HOL-SAN-SWP-BF-7909-G,PCS,16900
BOS-F016-F04-667,SETS,15400
ALP-WAT-HEA-IM-9EP-SIL,UNIT,82900
BOS-0601-1A9-5L0,UNIT,23900
"FAN-CEI-KDK-K12UX-48""",PCS,89900
X-ELE-CEI-LIG-38128-96W,PCS,20900
ALP-WAT-HEA-IM-9EP-BLK,UNIT,82900
X-ALP-WAT-HEA-AS-2EP-SIL,UNIT,65900
ELE-CAB-PVC-4.00MM-GRE,ROLL,20900
PUM-WTR-IPA750,UNIT,43900
PUM-SHOWFOU-SC-0512,UNIT,109900
ELE-CEI-LIG-8910/500RND,SET,16900
DC-DZC04-28,SET,50900
DC-DCKIT49BK,SET,89900
GAR-SPR-TAR-BAT-16LTR,SET,29900
X-ELE-CEI-LIG-38129-96W,PCS,20900
GRA-CUT-SUMO-SM-43N,UNIT,53900
TOO-WRE-AIR-EA-1302,UNIT,31900
BOS-1600-A00-F6X,PCS,17900
TOO-DRI-SET-WK-PWT-5502,SET,16900
LAD-ALU-WORKER-SS08,UNIT,24900
WIR-BRC-65C-45M,ROLL,45900
IND-TRU-FD300-ER,SET,32900
BAT-STA-SB202,PCS,19900
TOPLUS-WEA-PLUS-5L-D,CAN,14830
BOS-0611-338-9L1,UNIT,109800
