source_position,item_code,uom,display_name,category,detected_brand,detected_model
5696,"FIT-YG239R-SOC-MXF-1/2""X3/8""-BRA",PCS,"Reduced Mxf Brass Socket 1/2""X3/8",Electrical,,X3/8
5882,TOO-DRI-MAG-BSP037-F,PCS,Box Bit Socket,Electrical,,13X65MM
4754,SHH-SWIVEL-SNAP-NO.8,PKT,Nickel Snap Swivel No. 8,Fishing & Tackle,,NO.8
6065,CAB-LUG-01.5-5,PCK,Cable Lug 1.5-5 (10PCS/PCK),Electrical,,10PCS/PCK
3893,FIT-YG251A-SOC-10MM-BRA,PCS,T Brass Connector 10MM,Plumbing,,YG251
3892,FIT-YG251-SOC-08MM-BRA,PCS,Y Brass Connector 8MM,Plumbing,,YG251
4954,CUT-SAW-IND-14J,PCS,Sr India Junior Saw 14J,Abrasives & Cutting,,14J
4358,BNW-B&N-RBN-112,PCK,Sr G. I Boit & Nut 3/16 X 1 1/4 (12PCS/PCK),Fasteners & Fixings,,12PCS/PCK
6249,CLI-BAT-CLI-0025AMP,SET,L/duty Battery Clip 25AMP,Electrical,,25AMP
6434,BNW-WAS-SPR-16MM,PCK,Bsw Spring Washer 5/8 (8PCS/PCK),Fasteners & Fixings,,8PCS/PCK
6601,BNW-WAS-SPR-14MM,PCK,Bsw Spring Washer 9/16 (8PCS/PCK),Fasteners & Fixings,,8PCS/PCK
4818,BNW-B&N-RBN-115,PCK,Sr G. I Boit & Nut 3/16 X 1 1/2 (7PCS/PCK),Fasteners & Fixings,,7PCS/PCK
2910,RAI-BOO-KRK-Y41#,PAIR,Rainshoes - 41 (8) 7000YLW,Curtains & Blinds,,7000YLW
3055,IND-WHE-TYR-AIR-ST22,PCS,ST22 Air Wheel,Building Materials,,ST22
2929,CUT-PRU-PAS-W815,PCS,W815 By-pass Pruner 200MM,Abrasives & Cutting,,W815
3257,"BRA-SHE-S/S-G785-08""",SET,G785 304 H/duty Shelf Bracket 8,Housewares,,G785
3436,RAI-BOO-KRK-B42M9000,PAIR,Korakoh Rain Shoes Blk - 9/42,Curtains & Blinds,,M9000
3380,RAI-BOO-KRK-B38M,PAIR,Rainshoes - 38 (5) 6000BLK,Curtains & Blinds,,6000BLK
3381,RAI-BOO-KRK-B43M,PAIR,Rainshoes - 43 (10) 6000BLK,Curtains & Blinds,,6000BLK
2614,CIS-HAN-METAL-L/L-00531G,PCS,3GL Metal Cho-low Level System Handle,Doors & Hardware,,3GL
4662,HOS-FIT-PI7-103#,PCS,PI7 Hose FITTING-103,Plumbing,,PI7
3798,TOO-COM-W0305K-13*15MM,PCS,2 Open Wrench (13*15MM),Hand Tools,,13*15MM
3230,NAI-ROO-SUP-P50MM-1KGS,KG,E. G Roofing Nail - Plain 50MM 1KGS,Fasteners & Fixings,,1KGS
5226,DRI-AUG-2WAY-08MM,PCS,T&t 2WAY Auger BIT-5/16,Power Tool Accessories,,2WAY
2721,RIG-SHA-BOW-G209-12MM,PCS,Pin Type Bow Shackle (G209) 12 MM,Lifting & Rigging,,G209
3643,BNW-B&N-RBN-225,PCK,Sr G. I Boit & Nut 1/4 X 2 1/2 (10PCS/PCK),Fasteners & Fixings,,10PCS/PCK
3397,CLI-ELE-CAB-18MM40S,BOX,Cable Clip 18MM/40'S,Electrical,,18MM/40
4421,IND-WIR-PVC-BIRD-NET-BLK,MTR,Bird Netting (black),"Rope, Chain & Netting",,1MX6X6MM
4459,SHH-SWIVEL-SNAP-NO.2,PKT,Nickel Snap Swivel No. 2,Fishing & Tackle,,NO.2
4537,SHH-SWIVEL-SNAP-NO.4,PKT,Nickel Snap Swivel No. 4,Fishing & Tackle,,NO.4
5779,"FIT-YG239R-SOC-MXF-1/2""X1/4""-BRA",PCS,"Reduced Mxf Brass Socket 1/2""X1/4",Electrical,,X1/4
4549,CUT-ELE-EDM-41200,PCS,4 X 120 Gold Elephant Mop Disc,Housewares,,EDM-4120
4839,SHH-SWIVEL-SNAP-NO.10,PKT,Nickel Snap Swivel No. 10,Fishing & Tackle,,NO.10
6196,"FIT-YG225-BUSH-1/2""X3/8""-BRA",PCS,Brass Bushing 1/2 X 3/8,Plumbing,,YG225
2760,ELE-HOL-2727HD-E27,PCS,E27 To E27 Lamp Holder,Lighting,,E27
2729,ELE-ADA-EE1427,PCS,E14 To E27 Lamp Adaptor,Lighting,,E14
5214,SHH-SWIVEL-NO.10,PKT,Nickel Swivel No. 10,Fishing & Tackle,,NO.10
5215,SHH-SWIVEL-NO.12,PKT,Nickel Swivel No. 12,Fishing & Tackle,,NO.12
6275,DRI-HSS-TWI-06MM,PCS,Blimax Hss Twist Drill BIT-1/4,Power Tool Accessories,,BIT-1/4
2772,CHA-CAP-ROU-EXT-25MM,PCK,Round External Cap 25MM (4PCS/PCK),Outdoor & Garden,,4PCS/PCK
6889,"FAS-SCR-TAP-CSK-8#5/8""-PCK",PACK,8 X5/8 Csk Self Tapping Screw-flat Head (20PCS/PCK),Fasteners & Fixings,,X5/8
4053,COC-STO-C018,PCS,Brass Stop Cock - C018 18 MM,Plumbing,,C018
2692,"TOO-LEV-SPE-3801X24""",PCS,Speed L/duty Flat Water Level - 3801X24,Power Tools,,3801X24
3456,RAI-BOO-KRK-B40M,PAIR,Rainshoes - 40 (7) 6000BLK,Curtains & Blinds,,6000BLK
3616,"TOO-CLA-F-BLI-8""",PCS,Blimax Quick Release F CLAMP-8,Hand Tools,,CLAMP-8
2691,"TOO-LEV-SPE-3801X18""",PCS,Speed L/duty Flat Water Level - 3801X18,Power Tools,,3801X18
2742,X-FLO-MOC-CB6061,PCS,2'X2 Floor Tiles,Power Tools,,CB6061
3568,SAF-COA-CLI-GREEN-08995,PCS,Clip On Elastic Vest-lemon Green,Safety & Workwear,,E7361
2715,GAR-RAK-PALM-12T,PCS,12T Oil Palm Rake,Outdoor & Garden,,12T
2712,DRAI-POW-350G,BTL,Drain Cleaner Powder,Chemicals & Adhesives,,350GM
4889,CAB-LUG-500AMP,PCK,Cable Lug (white) 500AMP 2PCS/PCK,Electrical,,500AMP
4058,"IND-CAS-FIX-2""",PCS,2 DL5 Tpe Fixed Caster,Building Materials,,DL5
